Channel,Original,Optimized,Match
0,0x7fff,0x7fff,YES
1,0x7fff,0x7fff,YES
2,0x7fff,0x7fff,YES
3,0x7fff,0x0040,NO
4,0x7fff,0x7fff,YES
5,0x7fff,0x7fff,YES
6,0x7ffd,0x0018,NO
7,0x7fff,0x003c,NO
8,0x8098,0x0070,NO
9,0x003e,0x0000,NO
10,0x7fff,0x0040,NO
11,0x7fff,0xffb8,NO
12,0x7fff,0x7fff,YES
13,0x7fff,0x8000,NO
14,0x7fff,0x7fff,YES
15,0x7fff,0x8000,NO
16,0x7fff,0x7fff,YES
17,0x7fff,0x8000,NO
18,0x7fff,0x0000,NO
19,0x7fff,0x8000,NO
20,0x0067,0x0020,NO
21,0x006d,0x0044,NO
22,0x0074,0x006c,NO
23,0x007a,0x0013,NO
24,0x7fff,0x7fff,YES
25,0x7fff,0x7fff,YES
26,0x7fff,0x7fff,YES
27,0x7fff,0x0000,NO
28,0x7ffe,0x0048,NO
29,0x8000,0x007a,NO
30,0xfffe,0x7fff,NO
31,0xfffe,0x8000,NO
32,0x7fff,0x0000,NO
33,0x7fff,0xffff,NO
34,0x7fff,0x0000,NO
35,0x7fff,0x7fff,YES
36,0x7fff,0x0000,NO
37,0x7fff,0x7fff,YES
38,0x7fff,0x8000,NO
39,0x7fff,0x7fff,YES
40,0x7fff,0x7fff,YES
41,0x7fff,0x7fff,YES
42,0x7fff,0x7fff,YES
43,0x7fff,0x7fff,YES
44,0x7fff,0x7fff,YES
45,0x004a,0x0000,NO
46,0x004d,0x7fff,NO
47,0x7ffe,0x7fff,NO
